"season","week","athlete_name","team","opponent","qbr_epa","TQBR","raw_qbr","exp_qbr"
2014,2,"Brett Hundley","UCLA","MEM",0.272790361182776,83.7,73.9,76.4026336669922
2014,2,"Brian Burrell","FRES","UTAH",-0.275342080261868,8.1,3.5,17.9664211273193
2014,2,"C.J. Brown","MD","USF",-0.232135036107083,10.5,14.1,30.0840492248535
2014,2,"Chad Voytik","PITT","BC",-0.424159331523441,71.3,67.4,31.39284324646
2014,2,"Chandler Whitmer","CONN","STON",-0.163811238967019,9.4,22.6,36.2281761169434
2014,2,"Christian Hackenberg","PSU","AKR",0.275543540884903,58.9,67.2,76.4026336669922
2014,2,"Chuckie Keeton","USU","IDST",-0.322117210026797,16.9,36.2,24.2041301727295
2014,2,"Clint Trickett","WVU","TOWS",0.498280405618681,70.4,86.9,88.9340972900391
2014,2,"Cody Clements","UAB","MSST",0.0830409888139465,36.4,20.6,58.6470718383789
2014,2,"Cody Fajardo","NEV","WSU",-0.0461499934566793,52.6,56.7,49.2579383850098
2014,2,"Cody Kessler","USC","STAN",0.0438457734740712,77.5,51,56.6109275817871
2014,2,"Cody Sokol","LT","ULL",0.276237891848145,74.6,83.4,76.4026336669922
2014,2,"Colby Kirkegaard","WYO","AFA",0.34815183381428,81.1,82.7,71.4893417358398
2014,2,"Cole Stoudt","CLEM","SCST",0.0784367691169268,28.3,52.5,58.6470718383789
2014,2,"Colin Reardon","KENT","USA",-0.0577613120068538,22.7,34.1,44.4193725585938
2014,2,"Connor Cook","MSU","ORE",0.0694947386766987,72.6,60,57.2348594665527
2014,2,"Connor Halliday","WSU","NEV",-0.180597613956343,21.9,27.8,35.8434410095215
2014,2,"Cooper Rush","CMU","PUR",-0.0812445764425112,44.1,43.5,43.6420402526855
2014,2,"Cyler Miles","WASH","EWU",0.830460183557196,67.6,85.4,92.8307571411133
2014,2,"Dak Prescott","MSST","UAB",0.325422429829327,84.2,86.6,80.2263488769531
2014,2,"Dane Evans","TLSA","OKLA",-0.276381079412579,18.3,9.3,26.6635799407959
2014,2,"Danny Etling","PUR","CMU",0.0744070958943877,16.7,24.6,57.0293807983398
2014,2,"Davis Webb","TTU","UTEP",0.177191690124564,72.9,81.6,62.2191429138184
2014,2,"Daxx Garman","OKST","MOST",0.588886279533135,60.5,81.1,80.4283218383789
2014,2,"Devin Gardner","MICH","ND",-0.183031070784884,37.8,30.4,35.8434410095215
2014,2,"Drew Hare","NIU","NW",0.425704224885954,83.3,75.9,85.5257873535156
2014,2,"Dylan Thompson","SC","ECU",0.176919694760751,75.2,77.4,67.918830871582
2014,2,"Everett Golson","ND","MICH",0.181971835745037,91.6,87.7,61.7314109802246
2014,2,"Fredi Knighten","ARST","TENN",0.0746842666345479,82.3,68.6,59.4982414245605
2014,2,"Garrett Grayson","CSU","BSU",0.350331628334407,76.6,64.3,77.4972457885742
2014,2,"Gary Nova","RUTG","HOW",0.538899058595617,87,94.9,90.5617599487305
2014,2,"Grant Hedrick","BSU","CSU",0.445098945010791,83,86.2,86.3960494995117
2014,2,"Greg Hankerson","FAU","ALA",-0.227479324378616,40.4,23.5,18.3302345275879
2014,2,"Ikaika Woolsey","HAW","ORST",-0.183485800688585,30.3,25.5,35.8434410095215
2014,2,"J.T. Barrett","OSU","VT",-0.193905795306566,58.8,31.4,34.3962249755859
2014,2,"Jacoby Brissett","NCST","ODU",0.514167582704524,71.4,88.7,90.1750793457031
2014,2,"Jake Coker","ALA","FAU",0.144585657450358,72.8,76.9,65.0295867919922
2014,2,"Jake Rudock","IOWA","BALL",0.214110123353051,61.9,71.2,68.4019012451172
2014,2,"Jake Waters","KSU","ISU",0.342178257675001,73.4,79.6,80.2263488769531
2014,2,"Jameill Showers","UTEP","TTU",-0.383681865162632,11.3,15.5,19.6468563079834
2014,2,"Jameis Winston","FSU","CIT",0.431203991921063,75,89.3,86.3960494995117
2014,2,"James Knapke","BGSU","VMI",0.081343056061242,54.1,76.8,58.6470718383789
2014,2,"Jared Goff","CAL","SAC",0.271561422672462,92.7,97.3,76.4026336669922
2014,2,"JD Sprague","OHIO","UK",-0.197365053186805,44.9,39.9,36.2827301025391
2014,2,"Jeff Driskel","FLA","EMU",0.109852418029332,39.6,72.9,57.7228469848633
2014,2,"Joe Licata","BUFF","ARMY",0.386266796059646,41.6,61.6,81.661018371582
2014,2,"John O'Korn","HOU","GRAM",0.277440748318514,27.7,51.7,60.6984977722168
2014,2,"John Wolford","WAKE","WEBB",-0.0216232184017816,44.9,69.5,53.7024536132812
2014,2,"Justin Thomas","GT","TULN",-0.220800378563031,61.3,56.8,36.8812675476074
2014,2,"Justin Worley","TENN","ARST",0.169541775992179,73.4,68.8,67.918830871582
2014,2,"Kale Pearson","AFA","WYO",-0.0117777594901801,36.4,53.1,54.6301040649414
2014,2,"Keenan Reynolds","NAVY","TEM",0.409199012341701,94.9,93.2,85.5257873535156
2014,2,"Kenny Hill","TA&M","LAM",0.744453569823127,85.7,94.4,89.0343322753906
2014,2,"Kevin Hogan","STAN","USC",0.102909724488048,64.1,51.8,61.3078727722168
2014,2,"Kolney Cassel","SMU","UNT",0.558780458645977,14.9,14.8,57.3517799377441
2014,2,"Kyle Pohl","AKR","PSU",-0.292692283803761,41.3,21.4,27.5289402008057
2014,2,"Lamar Jordan","UNM","ASU",-0.0284390096865279,37.2,22.9,49.6726150512695
2014,2,"Marcus Mariota","ORE","MSU",0.343773512924037,91.1,82.2,80.2263488769531
2014,2,"Marquise Williams","UNC","SDSU",0.412342201690433,81.5,79.3,85.5257873535156
2014,2,"Matt Linehan","IDHO","ULM",0.0312118891043225,61.9,63.8,56.5929794311523
2014,2,"Maty Mauk","MIZ","TOL",0.599091312588036,74.9,81.2,78.2975006103516
2014,2,"Michael Brewer","VT","OSU",0.162942897556451,84,64.7,67.918830871582
2014,2,"Montell Cozart","KU","SEMO",0.212006640087668,43.9,68.6,57.8840637207031
2014,2,"Neal Burcham","SMU","UNT",-0.521772985448055,5.1,5.1,12.2309055328369
2014,2,"Nick Marshall","AUB","SJSU",0.0191467072392213,54.3,72.9,55.0774841308594
2014,2,"Nick Mullens","USM","ALCN",0.2072537960768,72.9,88.3,71.0122146606445
2014,2,"Ozzie Mann","BALL","IOWA",-0.295964458492824,31.3,23.1,26.3960933685303
2014,2,"P.J. Walker","TEM","NAVY",0.0567061306048652,49.5,55.6,62.7588233947754
2014,2,"Patrick Towles","UK","OHIO",0.436472864925151,51.5,68.1,74.7767028808594
2014,2,"Paxton Lynch","MEM","UCLA",0.298349560007804,80.9,68.6,78.7774353027344
2014,2,"Pete Thomas","ULM","IDHO",-0.0388289779684646,30.3,56.8,48.2960815429688
2014,2,"Phillip Ely","TOL","MIZ",-0.314457800784513,28.4,11.9,25.2632579803467
2014,2,"Quinn Kaehler","SDSU","UNC",0.026416531838584,33.4,29.8,37.4382095336914
2014,2,"Rakeem Cato","MRSH","URI",0.202773608568194,56.1,78.2,70.8083190917969
