"season","week","passer_player_name","team","opponent","qbr_epa","adj_qbr","raw_qbr","exp_qbr"
2014,1,"Tucker Carter","UTSA","HOU",-0.451908971827578,35.2,25.1,25.7978900606634
2014,1,"Tyler Jones","TXST","ARPB",0.563859801956413,94.1,97.8,84.9487783331002
2014,1,"Tyler Murphy","BC","UMASS",-0.0601141885111884,70.7,83.7,49.1926963664761
2014,1,"Tyler Rogers","NMSU","CP",0.129191611367068,35.8,61,62.4201360895946
2014,1,"Wes Lunt","ILL","YSU",0.196386606377566,65.8,84.3,66.833387625415
2014,1,"Will Gardner","LOU","MIAMI",0.0910181945556203,66.8,52.5,59.8180158707111
2014,1,"Zach Terrell","WMU","PUR",-0.144069013399804,39.8,39.2,43.3845144890524
2014,2,"Andrew Hendrix","M-OH","EKY",-0.00118817453988569,7.1,17.6,53.3571538165539
2014,2,"Angel Santiago","ARMY","BUFF",1.23231456071295,41.7,60.7,89.4427535951698
2014,2,"Anthony Boone","DUKE","TROY",0.305828712609048,73.6,87.1,73.4228426702287
2014,2,"Anthony Jennings","LSU","SHSU",2.46878713160519,99.4,99.8,77.9698509663635
2014,2,"Anu Solomon","ARIZ","UTSA",0.0750182645027658,24.4,31.8,58.7113402565582
2014,2,"Austin Grammer","MTSU","MINN",-0.0975994857487607,27.9,24,46.5709679525813
2014,2,"Blake Decker","UNLV","UNCO",-0.366074560483409,13.9,31.1,29.9683491997159
2014,2,"Blake Frohnapfel","UMASS","COLO",-0.145660244499681,63.9,70.7,43.2770254162767
2014,2,"Blake Jurich","SJSU","AUB",-0.232820798116095,62.5,45.2,37.6051747757436
2014,2,"Bo Wallace","MISS","VAN",0.469350310408453,87.8,88.7,81.4693304018629
2014,2,"Brad Kaaya","MIAMI","FAMU",0.0473480772485341,33.7,58.7,56.7799562116783
2014,2,"Brandon Bridge","USA","KENT",-0.0272675446443165,36.9,49,51.511317299355
2014,2,"Brandon Connette","FRES","UTAH",0.0578682816809074,65.2,43,57.5165701192505
2014,2,"Brandon Doughty","WKU","ILL",-0.231176014037518,37.3,38,37.707766932825
2014,2,"Brandon Silvers","TROY","DUKE",0.121687407090098,45.4,43.3,61.9133507310408
2014,2,"Brett Hundley","UCLA","MEM",0.366152381446222,83.7,73.9,76.6682367171909
2014,2,"Brian Burrell","FRES","UTAH",-0.275342080261868,8.1,3.5,35.0202938007779
2014,2,"C.J. Brown","MD","USF",-0.150948521847489,10.5,14.1,42.9206740088691
2014,2,"Chad Voytik","PITT","BC",-0.424159331523441,71.3,67.4,27.0807292250522
2014,2,"Chandler Whitmer","CONN","STON",-0.0711822147037677,9.4,22.6,48.4151008502145
2014,2,"Christian Hackenberg","PSU","AKR",0.246001777376261,58.9,67.2,69.9231027395849
2014,2,"Chuckie Keeton","USU","IDST",-0.625664659087914,16.9,36.2,19.2085401935683
2014,2,"Clint Trickett","WVU","TOWS",0.404352213898226,70.4,86.9,78.5612842697414
2014,2,"Cody Clements","UAB","MSST",0.290315976119371,36.4,20.6,72.5408985070874
2014,2,"Cody Fajardo","NEV","WSU",-0.128303293413136,52.6,56.7,44.4557706094102
2014,2,"Cody Kessler","USC","STAN",0.0438457734740712,77.5,51,56.5341851324848
2014,2,"Cody Sokol","LT","ULL",0.29298284895732,74.6,83.4,72.6938327013828
2014,2,"Colby Kirkegaard","WYO","AFA",0.34815183381428,81.1,82.7,75.7315981472017
2014,2,"Cole Stoudt","CLEM","SCST",0.134513403319651,28.3,52.5,62.7780017141464
2014,2,"Colin Reardon","KENT","USA",-0.035016931524844,22.7,34.1,50.9632589684537
2014,2,"Connor Cook","MSU","ORE",0.0896050347725992,72.6,60,59.7206138982392
2014,2,"Connor Halliday","WSU","NEV",-0.223914634385421,21.9,27.8,38.1629174470192
2014,2,"Cooper Rush","CMU","PUR",-0.0886768389694527,44.1,43.5,47.1916998841575
2014,2,"Cyler Miles","WASH","EWU",0.244858349819593,67.6,85.4,69.8537136356184
2014,2,"Dak Prescott","MSST","UAB",0.181722671053828,84.2,86.6,65.8911142635727
2014,2,"Dane Evans","TLSA","OKLA",-0.200027808133592,18.3,9.3,39.6849842748995
2014,2,"Danny Etling","PUR","CMU",0.0744070958943877,16.7,24.6,58.6689060501397
2014,2,"Davis Webb","TTU","UTEP",0.177191690124564,72.9,81.6,65.5974657019656
2014,2,"Daxx Garman","OKST","MOST",0.588886279533135,60.5,81.1,85.7177751228243
2014,2,"Devin Gardner","MICH","ND",0.00459611215602072,37.8,30.4,53.7663961041087
2014,2,"Drew Hare","NIU","NW",0.393654888337232,83.3,75.9,78.0444363771956
2014,2,"Dylan Thompson","SC","ECU",0.184701457624951,75.2,77.4,66.0835328567118
2014,2,"Everett Golson","ND","MICH",0.181971835745037,91.6,87.7,65.9072287574054
2014,2,"Fredi Knighten","ARST","TENN",-0.0589126699690006,82.3,68.6,49.2772513463
